Date : 2026-08-03 15:25:38
Directory : /Users/so.shah/Documents/centralized-notifications-test
Total : 426 files,  50457 codes, 2112 comments, 9805 blanks, all 62374 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/so.shah/Documents/centralized-notifications-test/docs/package-lock.json                                                          | JSON               |      2,550 |          0 |          1 |      2,551 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/package.json                                                               | JSON               |         16 |          0 |          1 |         17 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/scripts/render_architecture.py                                             | Python             |         85 |         15 |          5 |        105 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/srs/open-questions-and-decisions.md                                        | Markdown           |         91 |          0 |         10 |        101 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-14-notifications-dashboard-popover.md            | Markdown           |        859 |          4 |        171 |      1,034 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-15-notifications-panel-redesign.md               | Markdown           |      1,201 |          3 |        254 |      1,458 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-16-admin-panel.md                                | Markdown           |      1,453 |          0 |        280 |      1,733 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-16-notification-generator.md                     | Markdown           |      1,363 |          2 |        248 |      1,613 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-16-qol-improvements.md                           | Markdown           |      1,248 |          7 |        283 |      1,538 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-17-affordances-intuitiveness.md                  | Markdown           |        438 |          0 |        150 |        588 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-17-ai-pizazz.md                                  | Markdown           |        379 |          0 |        120 |        499 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-20-module-catalog-and-affordances.md             | Markdown           |        713 |          0 |        262 |        975 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-21-feed-sorting.md                               | Markdown           |        443 |          0 |        143 |        586 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-21-notification-counts-and-filter-menu.md        | Markdown           |        585 |          1 |        172 |        758 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-22-audience-scoping.md                           | Markdown           |        464 |          0 |        110 |        574 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-23-ai-chat-actions.md                            | Markdown           |        801 |          0 |        210 |      1,011 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-23-ai-qa.md                                      | Markdown           |        660 |          0 |        164 |        824 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-23-ai-summarizer.md                              | Markdown           |        675 |          0 |        213 |        888 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-23-be-client-library.md                          | Markdown           |        643 |          0 |        292 |        935 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-24-action-dispatch.md                            | Markdown           |      1,166 |          0 |        334 |      1,500 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-24-ui-component-library.md                       | Markdown           |        801 |          1 |        217 |      1,019 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-31-per-user-settings.md                          | Markdown           |        192 |          0 |         88 |        280 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-31-scheduled-summaries.md                        | Markdown           |      1,274 |          0 |        288 |      1,562 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-14-notifications-dashboard-popover-design.md     | Markdown           |        143 |          0 |         36 |        179 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-15-admin-panel-design.md                         | Markdown           |        163 |          0 |         34 |        197 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-15-notifications-panel-redesign-design.md        | Markdown           |        147 |          0 |         32 |        179 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-16-notification-generator-design.md              | Markdown           |        144 |          0 |         28 |        172 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-16-qol-improvements-design.md                    | Markdown           |        152 |          0 |         31 |        183 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-17-affordances-intuitiveness-design.md           | Markdown           |        137 |          0 |         32 |        169 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-17-ai-pizazz-design.md                           | Markdown           |        108 |          0 |         33 |        141 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-20-module-catalog-and-affordances-design.md      | Markdown           |        231 |          0 |         75 |        306 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-21-audience-scoping-design.md                    | Markdown           |        169 |          0 |         36 |        205 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-21-feed-sorting-design.md                        | Markdown           |        128 |          0 |         29 |        157 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-21-notification-counts-and-filter-menu-design.md | Markdown           |        175 |          0 |         41 |        216 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-23-ai-chat-actions-design.md                     | Markdown           |        150 |          0 |         37 |        187 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-23-ai-qa-design.md                               | Markdown           |        146 |          0 |         36 |        182 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-23-ai-summarizer-design.md                       | Markdown           |        166 |          0 |         37 |        203 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-23-be-client-library-design.md                   | Markdown           |        204 |          0 |         54 |        258 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-24-action-dispatch-design.md                     | Markdown           |        203 |          0 |         47 |        250 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-24-ui-component-library-design.md                | Markdown           |        184 |          1 |         35 |        220 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-31-per-user-settings-design.md                   | Markdown           |        156 |          0 |         43 |        199 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-31-scheduled-summaries-design.md                 | Markdown           |        193 |          0 |         42 |        235 |
| /Users/so.shah/Documents/centralized-notifications-test/eslint.config.js                                                                | JavaScript         |        117 |         26 |          9 |        152 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/Dockerfile                                                             | Docker             |         11 |          6 |          3 |         20 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/admin.spec.ts                                                      | TypeScript         |         68 |         11 |         13 |         92 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/ai-chat.spec.ts                                                    | TypeScript         |         46 |          6 |         10 |         62 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/ai-summary.spec.ts                                                 | TypeScript         |         42 |          7 |         10 |         59 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/dispatch.spec.ts                                                   | TypeScript         |        178 |         28 |         31 |        237 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/feed.spec.ts                                                       | TypeScript         |        103 |         20 |         23 |        146 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/qol.spec.ts                                                        | TypeScript         |         75 |          8 |         15 |         98 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/settings.spec.ts                                                   | TypeScript         |         84 |         13 |         14 |        111 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/env.d.ts                                                               | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/index.html                                                             | HTML               |         14 |          0 |          1 |         15 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/package.json                                                           | JSON               |         42 |          0 |          1 |         43 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/playwright.config.ts                                                   | TypeScript         |         37 |         15 |          4 |         56 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/public/favicon.svg                                                     | XML                |         12 |          0 |          1 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/App.vue                                                            | Vue                |          7 |          0 |          2 |          9 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/api/client.ts                                                      | TypeScript         |         40 |          7 |          3 |         50 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/api/sse.ts                                                         | TypeScript         |         33 |         17 |          8 |         58 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/AdminView.spec.ts                                   | TypeScript         |         20 |          1 |          4 |         25 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/AdminView.vue                                       | Vue                |          6 |          0 |          2 |          8 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/auth/LoginView.vue                                        | Vue                |         45 |          0 |          8 |         53 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/dashboard/DashboardHome.vue                               | Vue                |         32 |          0 |          4 |         36 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/dashboard/DashboardLayout.vue                             | Vue                |         35 |          0 |          3 |         38 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/dashboard/DashboardNotificationsLifecycle.vue             | Vue                |         22 |          0 |          4 |         26 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/dashboard/components/DashboardSidebar.vue                 | Vue                |        113 |          0 |         10 |        123 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/dashboard/components/DashboardTopBar.vue                  | Vue                |         20 |          0 |          3 |         23 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/settings/SettingsView.vue                                 | Vue                |        146 |          3 |         15 |        164 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/login.form.ts                                                | TypeScript         |         25 |          0 |          2 |         27 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/main.ts                                                            | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/router/index.ts                                                    | TypeScript         |         50 |          3 |          4 |         57 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/session.ts                                                  | TypeScript         |         37 |          4 |          9 |         50 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/styles/main.css                                                    | PostCSS            |        194 |         39 |         17 |        250 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/src/test-setup.ts                                                      | TypeScript         |         11 |          3 |          2 |         16 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/tsconfig.json                                                          | JSON with Comments |         11 |          0 |          1 |         12 |
| /Users/so.shah/Documents/centralized-notifications-test/frontend/vite.config.ts                                                         | TypeScript         |         29 |          9 |          3 |         41 |
| /Users/so.shah/Documents/centralized-notifications-test/package.json                                                                    | JSON               |         30 |          0 |          1 |         31 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/README.md                                                         | Markdown           |         74 |          0 |         25 |         99 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/001_notifications.sql                                  | MS SQL             |         41 |          8 |          3 |         52 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/002_notification_reads.sql                             | MS SQL             |          6 |          7 |          2 |         15 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/003_modules.sql                                        | MS SQL             |          6 |          5 |          2 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/004_global_settings.sql                                | MS SQL             |         11 |          3 |          3 |         17 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/005_modules_base_url.sql                               | MS SQL             |          1 |          4 |          2 |          7 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/006_action_dispatches.sql                              | MS SQL             |         12 |         14 |          2 |         28 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/007_user_summaries.sql                                 | MS SQL             |          6 |          2 |          1 |          9 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/008_summary_time.sql                                   | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/009_user_preferences.sql                               | MS SQL             |          6 |          3 |          1 |         10 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/migrations/010_user_mute_rules.sql                                | MS SQL             |          8 |          4 |          1 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/package.json                                                      | JSON               |         38 |          0 |          1 |         39 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/action/dispatch.ts                                            | TypeScript         |        108 |         33 |         18 |        159 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/action/store.ts                                               | TypeScript         |         51 |         18 |          8 |         77 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/ai/answer.ts                                                  | TypeScript         |         63 |          8 |          9 |         80 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/ai/chat-prompt.ts                                             | TypeScript         |         55 |         12 |          9 |         76 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/ai/errors.ts                                                  | TypeScript         |         24 |          6 |          5 |         35 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/ai/prompt.ts                                                  | TypeScript         |         27 |          2 |          3 |         32 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/ai/retrieve.ts                                                | TypeScript         |        141 |         21 |         15 |        177 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/ai/schedule.spec.ts                                           | TypeScript         |         32 |          1 |          6 |         39 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/ai/schedule.ts                                                | TypeScript         |         39 |          9 |          4 |         52 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/ai/summarize.ts                                               | TypeScript         |        116 |         10 |         13 |        139 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/ai/summary-store.ts                                           | TypeScript         |         38 |          1 |          3 |         42 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/audience/match.ts                                             | TypeScript         |         24 |         13 |          3 |         40 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/db.ts                                                         | TypeScript         |         11 |          5 |          3 |         19 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/delivery/coalescing-buffer.ts                                 | TypeScript         |         29 |          8 |          5 |         42 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/delivery/hub.ts                                               | TypeScript         |         33 |         17 |          7 |         57 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/index.ts                                                      | TypeScript         |         46 |          0 |          1 |         47 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/migrate.ts                                                    | TypeScript         |         38 |          9 |          6 |         53 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/pipeline/boundary.ts                                          | TypeScript         |          8 |          6 |          2 |         16 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/pipeline/ingest.ts                                            | TypeScript         |         35 |         11 |          3 |         49 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/pipeline/persist.ts                                           | TypeScript         |         32 |         12 |          2 |         46 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/pipeline/validate.ts                                          | TypeScript         |         10 |          6 |          3 |         19 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/policy/store.ts                                               | TypeScript         |        148 |         18 |         16 |        182 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/preferences/mute.spec.ts                                      | TypeScript         |         51 |          2 |         10 |         63 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/preferences/mute.ts                                           | TypeScript         |         36 |         22 |          5 |         63 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/preferences/store.ts                                          | TypeScript         |         91 |          8 |         10 |        109 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/read/counts.ts                                                | TypeScript         |         30 |          6 |          4 |         40 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/read/feed-actions.spec.ts                                     | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/read/feed.ts                                                  | TypeScript         |        168 |         25 |         20 |        213 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/read/mute-targets.ts                                          | TypeScript         |         57 |          8 |          8 |         73 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/read/read-state.ts                                            | TypeScript         |         51 |         14 |          7 |         72 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/service.ts                                                    | TypeScript         |        197 |         35 |         17 |        249 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/src/types.ts                                                      | TypeScript         |         66 |         36 |         11 |        113 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/action-dispatch.test.ts                                      | TypeScript         |        228 |          9 |         25 |        262 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/action-store.test.ts                                         | TypeScript         |         88 |          3 |         12 |        103 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/ai-types.test.ts                                             | TypeScript         |         21 |          1 |          3 |         25 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/answer.test.ts                                               | TypeScript         |        215 |          2 |         19 |        236 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/audience-match.test.ts                                       | TypeScript         |         18 |          0 |          3 |         21 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/audience-parity.test.ts                                      | TypeScript         |         52 |          4 |          9 |         65 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/boundary.test.ts                                             | TypeScript         |         36 |          3 |          6 |         45 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/chat-prompt.test.ts                                          | TypeScript         |        171 |          7 |          7 |        185 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/db.test.ts                                                   | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/global-setup.ts                                              | TypeScript         |         21 |          6 |          3 |         30 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/grounding-mute.test.ts                                       | TypeScript         |         40 |          2 |          9 |         51 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/harness.ts                                                   | TypeScript         |         10 |          9 |          4 |         23 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/hub.test.ts                                                  | TypeScript         |         48 |          0 |          5 |         53 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/ingest.test.ts                                               | TypeScript         |         42 |          0 |          7 |         49 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/migrate.test.ts                                              | TypeScript         |         27 |          1 |          6 |         34 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/persist.test.ts                                              | TypeScript         |         28 |          0 |          5 |         33 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/policy-store.test.ts                                         | TypeScript         |         48 |          1 |          9 |         58 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/preferences-store.test.ts                                    | TypeScript         |         53 |          3 |         13 |         69 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/prompt.test.ts                                               | TypeScript         |         32 |          0 |          2 |         34 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/read-mute.test.ts                                            | TypeScript         |        101 |          8 |         20 |        129 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/read-state.test.ts                                           | TypeScript         |         54 |          0 |         10 |         64 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/read.test.ts                                                 | TypeScript         |         55 |          0 |         12 |         67 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/retrieve.test.ts                                             | TypeScript         |        183 |         12 |         19 |        214 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/service-preferences.test.ts                                  | TypeScript         |         70 |          0 |         10 |         80 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/service.test.ts                                              | TypeScript         |         49 |          0 |         10 |         59 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/setup.ts                                                     | TypeScript         |          2 |          3 |          1 |          6 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/summarize.test.ts                                            | TypeScript         |         94 |          6 |         12 |        112 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/summary-context.test.ts                                      | TypeScript         |         47 |          1 |          7 |         55 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/test/summary-store.test.ts                                        | TypeScript         |         75 |          4 |          9 |         88 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/tsconfig.json                                                     | JSON with Comments |         10 |          0 |          1 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/tsup.config.ts                                                    | TypeScript         |          8 |          4 |          2 |         14 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/core/vitest.config.ts                                                  | TypeScript         |          8 |          3 |          2 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/package.json                                                | JSON               |         26 |          0 |          1 |         27 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/app.spec.ts                                             | TypeScript         |         15 |          0 |          2 |         17 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/app.ts                                                  | TypeScript         |         29 |          9 |          9 |         47 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/config.ts                                               | TypeScript         |         29 |         11 |          4 |         44 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/generate.spec.ts                                        | TypeScript         |        142 |         17 |         16 |        175 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/generate.ts                                             | TypeScript         |        243 |         62 |         25 |        330 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/index.ts                                                | TypeScript         |         13 |          3 |          4 |         20 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/load-env.ts                                             | TypeScript         |          8 |          9 |          2 |         19 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/modules/access-governance.ts                            | TypeScript         |         31 |          1 |          5 |         37 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/modules/assessments.ts                                  | TypeScript         |         28 |          2 |          4 |         34 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/modules/data-mapping.ts                                 | TypeScript         |         31 |          2 |          5 |         38 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/modules/dsr.ts                                          | TypeScript         |         47 |          4 |          5 |         56 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/modules/registry.ts                                     | TypeScript         |         15 |          8 |          4 |         27 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/modules/types.ts                                        | TypeScript         |         12 |         14 |          3 |         29 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/page.ts                                                 | TypeScript         |        554 |         16 |          2 |        572 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/routes/actions.spec.ts                                  | TypeScript         |        119 |          1 |         18 |        138 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/routes/actions.ts                                       | TypeScript         |         76 |         17 |         13 |        106 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/routes/catalog.spec.ts                                  | TypeScript         |         43 |          2 |         10 |         55 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/routes/catalog.ts                                       | TypeScript         |         29 |          8 |          5 |         42 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/routes/emit.spec.ts                                     | TypeScript         |        217 |          0 |         36 |        253 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/routes/emit.ts                                          | TypeScript         |         96 |         17 |         11 |        124 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/routes/page.spec.ts                                     | TypeScript         |         26 |          1 |          6 |         33 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/src/routes/page.ts                                          | TypeScript         |          7 |          6 |          2 |         15 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/tsconfig.json                                               | JSON with Comments |         10 |          0 |          1 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/tsup.config.ts                                              | TypeScript         |          8 |          2 |          2 |         12 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/module-sim/vitest.config.ts                                            | TypeScript         |          4 |          2 |          2 |          8 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/README.md                                               | Markdown           |         59 |          0 |         17 |         76 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/package.json                                            | JSON               |         42 |          0 |          1 |         43 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/src/auth.ts                                             | TypeScript         |         37 |         10 |          4 |         51 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/src/index.ts                                            | TypeScript         |         29 |         12 |          3 |         44 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/src/routes/admin.ts                                     | TypeScript         |         80 |          6 |         10 |         96 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/src/routes/chat.ts                                      | TypeScript         |         79 |          8 |          7 |         94 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/src/routes/intake.ts                                    | TypeScript         |         39 |          9 |          7 |         55 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/src/routes/notifications.ts                             | TypeScript         |        117 |          5 |         12 |        134 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/src/routes/preferences.ts                               | TypeScript         |         88 |         18 |         13 |        119 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/src/routes/sse.ts                                       | TypeScript         |         74 |         21 |         13 |        108 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/src/routes/summary.ts                                   | TypeScript         |         58 |          7 |          5 |         70 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/admin.route.test.ts                                | TypeScript         |        181 |          5 |         21 |        207 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/chat.route.test.ts                                 | TypeScript         |        199 |          4 |         19 |        222 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/foreign-host.test.ts                               | TypeScript         |        116 |          6 |         13 |        135 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/global-setup.ts                                    | TypeScript         |         21 |          1 |          3 |         25 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/harness.ts                                         | TypeScript         |         11 |          4 |          4 |         19 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/intake.route.test.ts                               | TypeScript         |         89 |          0 |         11 |        100 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/notifications.route.test.ts                        | TypeScript         |        214 |          9 |         26 |        249 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/preferences.route.test.ts                          | TypeScript         |        182 |          0 |         18 |        200 |
